id	filename	md5	size	state
a703335c-54a6-43cb-bc75-f55f5a4db0f7	0ca5cc29-f48e-4533-a732-877e7bd2e73a.htseq.counts.gz	c6a7a5712a011c625020a9c1ecf077f0	253474	released
c8ac0300-4ea5-4315-a8e8-aa69552ce03c	bd556315-a050-465f-9a41-bdebe7e3eb61.htseq.counts.gz	c8234553cef8ba3222308824164cd619	252361	released
afd61b19-7af6-44b5-bbba-14db3fb74e8f	9ed9fdc8-a437-4f4b-8ef8-e3f0c219baca.htseq.counts.gz	f0a057c4925825a21bfc25d14e279a8a	248590	released
da2f86e8-78bb-4af6-abe0-052ff13f346c	f4274249-5d92-402a-bce2-d28579e87f33.htseq.counts.gz	c09002dd732489e4df151f67eceb4fa2	257039	released
70702a9c-a74f-4703-9dd5-24a124ebc2d5	f6b9d070-6d11-40f3-9ca0-a20779091825.htseq.counts.gz	73e37842d824d13db736418abf1fd9bd	254304	released
e1f567f8-df88-48ab-b8c5-5338f0cba065	07d9b7c5-d77b-4b89-8c65-10e98149bdeb.htseq.counts.gz	1c5bcca90bcdc6cc9f82948370f3097c	267827	released
dde9d855-d6fd-48de-89d3-8e96ef1fb175	ad778372-ad13-4d11-ac15-900de7d9637a.htseq.counts.gz	7ecf7d990a932617fcd1f73db5beaf16	257895	released
2b50c27e-6406-4a6a-8555-c77918c78346	c77a24cf-b389-4c74-8477-792a1529b1fb.htseq.counts.gz	a7ba45be16f8531a348703c14249baca	248138	released
d5221071-a49e-4ef4-b811-46213e2e1002	75965f7b-8ec7-481e-ae22-68ba7f7eafed.htseq.counts.gz	eb26ceaf3d90b212b5e1a8cfb1fc1384	253917	released
7506701c-9548-4d89-a1aa-c874612a7fbb	618b463f-1cbd-45d7-83ea-470a0451799f.htseq.counts.gz	bcb0ba4097eff8c676f404eba4e8d973	259691	released
a4ce3b73-9ab0-402f-8dc2-5b4344d4d356	f5689b4d-3907-40ce-aa31-90508021731a.htseq.counts.gz	9af01d7f3b104496f3c4068c8b653e31	255107	released
7420704d-4362-4803-bb21-f3f4bbb8c685	45f27da5-7fc4-40e2-a78f-3f9af7500804.htseq.counts.gz	c13f77a5428aa19f3e2f66b5e9842bd9	249535	released
6f6bbffd-1eb4-4b0b-b8c5-068fe66d0734	ba65f95e-4a58-4378-925b-60f864c4f5de.htseq.counts.gz	9c26ac76c8a0996bb72a748df0e87a96	253376	released
dc6315b8-b182-49c3-b372-6bd8c210358c	a18f26c8-9497-4824-a5ba-7b192f4ca987.htseq.counts.gz	cfdc5ea75131c4f71dc953aa2752af42	251435	released
ff8bbe49-aa8e-415f-8a11-4a16b403289f	9b13b9bb-b184-42ed-80dd-2d9b90da17ba.htseq.counts.gz	e6fbd4045b36ad7ddff19a8402d5a0f1	254571	released
576059d0-1111-4f50-919a-a911bbb21d7d	23507f34-1c8e-4d83-a1c3-634b49460eb9.htseq.counts.gz	e52db9333a717baa2b98dd8f1ec422ce	254241	released
